,Ticker,Corr
371,ثمسکن,0.8395231672649749
652,وطوبی,0.839123823864329
423,وامید,0.8362716272241804
620,شکربن,0.8352508852494256
452,وبهمن,0.8342183646411225
2,وارس,0.8341841387758707
376,وتوشه,0.8340700934158051
867,افق,0.8336091761014628
250,خعمرا,0.8328266855082466
716,خچرخش,0.8302751172867637
246,پلوله,0.8294090855627324
65,دتماد,0.8280731558479969
475,دهدشت,0.8279727122115628
606,ملت,0.8279012051142131
333,سبجنو,0.8264015912120105
415,فسوژ,0.826304373303829
593,سغرب,0.8259091977631867
226,فنرژی,0.825593362947342
792,وآفر,0.8255686649567622
884,خکرمان,0.8251504633330269
372,زبینا,0.8247765871150885
801,تجلی,0.8239822902407751
29,فروس,0.8235974279940284
706,شمواد,0.8235806946081606
41,پشاهن,0.8227542057141903
305,وکبهمن,0.8222619065177325
176,تایرا,0.8221023029622284
183,فسپا,0.8204498039126182
863,سپید,0.8194638961353747
559,شیران,0.8187161323427894
506,شنفت,0.8152897892484139
186,تملت,0.8145231098446434
270,ثبهساز,0.8129768030967949
260,ساربیل,0.8096524933323372
751,فولای,0.8082736630807261
106,وصنعت,0.8071556834784307
234,تماوند,0.8059411931312448
6,کایزد,0.8034386183541272
500,کساپا,0.8007363026379162
277,جم,0.7987494555843547
776,ثپردیس,0.7969723306614058
274,کگاز,0.7967005587868118
402,صنهال,0.7962547448857892
429,خکمک,0.7943436527053065
193,دسبحان,0.7942165362400617
174,نمرینو,0.7933219267273207
561,کرومیت,0.7930524999020896
23,بموتو,0.7917288800614595
589,شاملا,0.7909094982655523
721,پلاست,0.7899283180977297
905,وتوس,0.7883079201250504
503,سفار,0.7861349198169711
881,پلاسک,0.7857772762708835
82,رایکا,0.7852970287862739
77,فاخر,0.7851076878351947
820,غگلپا,0.7850981988816546
664,توسن,0.7830822620228102
765,سخاش,0.7821245422088509
13,ثغرب,0.7814279873630143
195,ولشرق,0.781377504518387
215,دحاوی,0.7810771516972238
229,زشگزا,0.7809646306581249
336,زقیام,0.780443537765996
357,شتوکا,0.779578028264848
637,سیناد,0.7788711507304155
366,ترمه,0.7787707685488847
393,زملارد,0.7786756645692958
749,دبالک,0.7785971227963935
420,شفا,0.7771438663064835
755,فمراد,0.7747895916983072
269,بخاور,0.7742968694971579
359,کمنگنز,0.7737215049429113
323,پرتو,0.7721884056731457
56,خمحور,0.7721619855122525
455,چخزر,0.7720425973679592
346,پکویر,0.771693984559797
756,کپرور,0.7714308920204982
590,وسدید,0.7671475119092919
856,کاج,0.7667887731309098
