,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
343,35640,35640,34000,35640,35590,18007100,640871453670,4986,وبهمن,سرمایه گذاری بهمن,بورس,6567,6567,6265,6567,6558
344,67480,67480,63250,67480,67110,3702069,248444257259,28613,چخزر,صنایع چوب خزر کاسپین,فرابورس,57409,57409,53810,57409,57094
345,71010,77551,70500,77551,76451,5407303,413393855914,1915,حپارسا,توسعه حمل و نقل ریلی پارسیان,فرابورس,53904,58869,53517,58869,58034
346,77159,81931,77159,81931,80573,7877513,634716104814,3020,وحافظ,بیمه حافظ,پایه زرد,3707,3936,3707,3936,3871
347,67380,67380,67000,67380,67380,6567310,442496971590,1767,دجابر,داروسازی جابرابن حیان,بورس,29090,29090,28926,29090,29090
348,35900,37690,34110,34110,34470,52775950,1819411997710,17319,خزامیا,زامیاد,بورس,7684,8067,7301,7301,7378
349,4575,4575,4575,4575,4512,3460154,15830204550,295,جهرم,پتروشیمی جهرم,پایه زرد,4538,4538,4538,4538,4476
350,30759,30759,30759,30759,29123,104390,3210932010,1748,شصدف,صنعتی دوده فام,فرابورس,26541,26541,26541,26541,25130
351,52840,52840,52840,52840,52840,6260944,330828280960,2482,کلوند,کاشی الوند,بورس,38486,38486,38486,38486,38486
352,94147,94147,94147,94147,94147,260081,24485845907,99,گکیش,توریستی ورفاهی آبادگران کیش,پایه زرد,30423,30423,30423,30423,30423
353,166500,166650,159920,166650,166300,3125677,519792720650,5527,کماسه,تامین ماسه ریخته گری,بورس,12005,12015,11530,12015,11990
354,46210,46210,44520,45640,45830,7143144,327350962170,3131,بفجر,فجر انرژی خلیج فارس,بورس,9637,9637,9285,9518,9558
355,28300,28300,28300,28300,28300,2569380,72713454000,1034,سرود,سیمان شاهرود,بورس,19433,19433,19433,19433,19433
356,29570,29570,28300,28300,28710,1102962,31943820080,656,سرود,سیمان شاهرود,بورس,20305,20305,19433,19433,19715
357,57480,57480,57480,57480,57020,1174190,67492441200,642,کرماشا,صنایع پتروشیمی کرمانشاه,بورس,14781,14781,14781,14781,14663
