,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
640,3741,3741,3651,3741,3741,22836177,85423893818,671,وطوبی,سرمایه گذاری اقتصاد شهر طوبی,فرابورس,3474,3474,3390,3474,3474
641,3050,3096,3020,3096,3094,438920845,1358017604994,7189,خبهمن,گروه بهمن,بورس,2994,3039,2965,3039,3037
642,3173,3173,3006,3173,3165,656478652,2077687487168,8194,آسیا,بیمه آسیا,بورس,3145,3145,2979,3145,3137
643,12260,12260,11640,11900,12120,19112420,231676379590,1772,غشاذر,پگاه آذربایجان غربی,بورس,11940,11940,11337,11590,11804
644,19193,19193,18705,19099,18896,3327183,62869818552,207,اوج,صندوق س.اوج دماوند-س,نامعلوم,19193,19193,18705,19099,18896
645,16680,16690,16300,16680,16670,23034386,383984599900,1567,رنیک,جنرال مکانیک,فرابورس,15624,15633,15268,15624,15614
646,7200,7260,7060,7230,7170,28513312,204391264470,1625,وسپه,سرمایه گذاری سپه,بورس,5820,5868,5707,5844,5796
647,35504,35505,35504,35504,35504,2019267,71692056513,19,طلوع,صندوق س.طلوع نوین ثابت-د,پایه زرد,35504,35505,35504,35504,35504
648,19050,19650,19050,19586,19310,31418,606679928,29,ثنا,صندوق س.زرین نهال ثنا-س,نامعلوم,19050,19650,19050,19586,19310
649,10600,10990,10600,10990,10980,13436352,147502975090,2376,فتوسا,تولید و توسعه سرب روی ایرانیان,فرابورس,9774,10134,9774,10134,10125
650,2774,2774,2694,2771,2772,46739170,129544214837,1634,ولیز,لیزینگ ایران,پایه زرد,2774,2774,2694,2771,2772
651,22650,22850,21800,22350,22500,7119438,160304558600,698,توسن,توسعه سامانه ی نرم افزاری نگین,فرابورس,22650,22850,21800,22350,22500
652,58400,58400,56000,58200,57780,4894890,282842176130,3687,بکاب,صنایع جوشکاب یزد,بورس,16689,16689,16003,16631,16511
653,49220,52000,49220,51990,51030,23534771,1200896114430,5880,شاراک,پتروشیمی شازند,بورس,44480,46993,44480,46984,46116
654,10211,10211,10210,10211,10211,7236193,73888598289,25,گنجینه,صندوق س. گنجینه داریوش-د,پایه زرد,10211,10211,10210,10211,10211
655,26850,26850,26850,26850,26850,9245199,248233593150,842,اوان,مبین وان کیش,فرابورس,26835,26835,26835,26835,26835
656,5770,5990,5710,5790,5830,52358433,305507888460,4473,غگل,گلوکوزان,بورس,5770,5990,5710,5790,5830
657,13900,14430,13430,14430,14120,7582090,107046237030,1406,کساپاح,ح . سایپاشیشه,بورس,13900,14430,13430,14430,14120
658,7870,7870,7430,7870,7820,11252525,88044320910,358,تشتاد,صنایع تولیدی اشتاد ایران,پایه زرد,7870,7870,7430,7870,7820
659,6180,6660,6180,6660,6520,13581269,88524940510,968,وتوسم,سرمایه گذاری توسعه ملی,بورس,3805,4101,3805,4101,4015
660,23298,23700,23001,23700,23502,16366788,384646059584,1838,داریوش,صندوق س. ثروت داریوش -س,نامعلوم,23298,23700,23001,23700,23502
661,10450,10590,10450,10590,10544,2896,30535220,7,تیام,صندوق س.سهامی تیام-س,نامعلوم,10450,10590,10450,10590,10544
662,10610,10790,10510,10780,10670,14432170,153935163680,2764,استیل,صندوق س صنایع مفید- بخشی,نامعلوم,10610,10790,10510,10780,10670
663,28800,29770,28800,29610,29440,125691539,3700387335980,10374,اهرم,صندوق س سهامی کاریزما- اهرمی,نامعلوم,28800,29770,28800,29610,29440
664,7080,7440,7070,7370,7420,3638055,26991782150,246,آرمان,بیمه آرمان,پایه زرد,7080,7440,7070,7370,7420
665,111300,121840,110900,121840,121630,588791,71616922270,672,آباد,توریستی ورفاهی آبادگران ایران,بورس,111300,121840,110900,121840,121630
666,14140,14140,14000,14140,14140,18685123,264164764620,2108,خمحرکه,نیرو محرکه,بورس,14126,14126,13986,14126,14126
667,4965,5079,4922,4979,4986,20721791,103315454855,3023,مدیریت,س. و خدمات مدیریت صند. ب کشوری,فرابورس,4965,5079,4922,4979,4986
668,94400,100300,91200,100250,98800,577200,57040847250,1706,لطیف,محصولات کاغذی لطیف,فرابورس,85267,90597,82377,90551,89242
669,48490,50990,46600,49600,48870,5738379,280457159300,2828,کبافق,معادن بافق,بورس,45222,47554,43460,46257,45577
670,8200,8320,7820,8230,8200,37986750,311321788420,2372,تپسی,پیشگامان فن آوری و دانش آرامیس,فرابورس,8161,8281,7783,8191,8161
671,4693,4695,4457,4495,4605,128049083,589623886143,6378,چدن,تولیدی چدن سازان,بورس,4541,4543,4313,4349,4456
672,17370,17370,17050,17370,17350,4499241,78062037770,610,فوکا,فولاد کاویان,پایه زرد,15723,15723,15434,15723,15705
673,26602,27278,26602,27125,27081,13964669,378174306518,1303,کاریس,صندوق س.سپند کاریزما-س,نامعلوم,26602,27278,26602,27125,27081
674,31620,32110,31450,31950,31790,650000,20625701090,528,دلر,داروسازی اکسیر,بورس,31620,32110,31450,31950,31790
675,39344,39345,39344,39345,39344,21942512,863312048057,526,فیروزا,صندوق ارمغان فیروزه آسیا-ثابت,نامعلوم,39344,39345,39344,39345,39344
676,13400,14460,13300,14100,13980,18099992,253054415200,3063,فروی,ذوب روی اصفهان,فرابورس,13261,14310,13162,13954,13835
677,17630,17630,17000,17594,17115,7507339,128491790071,63,ضمان,صندوق تضمین ا.سرمایه کاریزما-م,نامعلوم,17630,17630,17000,17594,17115
678,10280,10281,10280,10280,10280,200695,2063146100,12,ثابت اکسیژن,ص.س.درآمد ثابت اکسیژن-د,پایه زرد,10280,10281,10280,10280,10280
679,26250,27050,26150,26800,26950,6515204,175622654200,1523,کی بی سی,شرکت کی بی سی,فرابورس,26250,27050,26150,26800,26950
680,7300,7300,6510,7290,6880,17289420,119015872650,4315,ولپارس,لیزینگ پارسیان,بورس,7300,7300,6510,7290,6880
681,7190,7360,6660,7150,7090,33766067,239458660830,2594,ولصنم,لیزینگ صنعت ومعدن,بورس,7190,7360,6660,7150,7090
682,264220,264220,252360,264210,263610,2810828,740975795980,4551,سصفها,سیمان اصفهان,بورس,260898,260898,249187,260888,260296
