J-Date,Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
1402-04-24,2023-07-15,12560,12560,12560,12560,12850,349033,4383854480,63,کورز,ورزیران,پایه زرد,12461,12461,12461,12461,12748
1402-04-25,2023-07-16,12470,12470,12470,12470,12690,649472,8098915840,74,کورز,ورزیران,پایه زرد,12371,12371,12371,12371,12590
1402-05-03,2023-07-25,12220,12220,12220,12220,12560,141574,1730034280,17,کورز,ورزیران,پایه زرد,12220,12220,12220,12220,12560
1402-05-04,2023-07-26,12190,12190,12190,12190,12500,277212,3379214280,36,کورز,ورزیران,پایه زرد,12190,12190,12190,12190,12500
1402-05-07,2023-07-29,12130,12130,12130,12130,12470,142968,1734201840,18,کورز,ورزیران,پایه زرد,12130,12130,12130,12130,12470
1402-05-08,2023-07-30,12100,12100,12100,12100,12430,170247,2059988700,17,کورز,ورزیران,پایه زرد,12100,12100,12100,12100,12430
1402-05-09,2023-07-31,12060,12060,12060,12060,12410,72662,876303720,11,کورز,ورزیران,پایه زرد,12060,12060,12060,12060,12410
1402-05-10,2023-08-01,12040,12040,12040,12040,12370,170461,2052350440,20,کورز,ورزیران,پایه زرد,12040,12040,12040,12040,12370
1402-05-14,2023-08-05,12000,12000,12000,12000,12340,149261,1791132000,19,کورز,ورزیران,پایه زرد,12000,12000,12000,12000,12340
1402-05-15,2023-08-06,11970,11970,11970,11970,12310,133962,1603525140,18,کورز,ورزیران,پایه زرد,11970,11970,11970,11970,12310
1402-05-16,2023-08-07,11950,11950,11950,11950,12290,73164,874309800,11,کورز,ورزیران,پایه زرد,11950,11950,11950,11950,12290
1402-05-17,2023-08-08,11930,11930,11930,11930,12290,12923,154171390,4,کورز,ورزیران,پایه زرد,11930,11930,11930,11930,12290
1402-05-18,2023-08-09,11930,11930,11930,11930,12260,139949,1669591570,20,کورز,ورزیران,پایه زرد,11930,11930,11930,11930,12260
1402-05-21,2023-08-12,11900,11900,11900,11900,12250,45687,543675300,7,کورز,ورزیران,پایه زرد,11900,11900,11900,11900,12250
1402-05-22,2023-08-13,11640,11640,11640,11640,12200,129871,1511698440,18,کورز,ورزیران,پایه زرد,11640,11640,11640,11640,12200
1402-05-23,2023-08-14,11840,11840,11840,11840,12190,38501,455851840,11,کورز,ورزیران,پایه زرد,11840,11840,11840,11840,12190
1402-05-24,2023-08-15,11830,11830,11830,11830,12180,52300,618709000,8,کورز,ورزیران,پایه زرد,11830,11830,11830,11830,12180
1402-05-25,2023-08-16,11820,11820,11820,11820,12170,54878,648657960,8,کورز,ورزیران,پایه زرد,11820,11820,11820,11820,12170
1402-05-28,2023-08-19,11810,11810,11810,11810,12170,5000,59050000,1,کورز,ورزیران,پایه زرد,11810,11810,11810,11810,12170
1402-05-29,2023-08-20,11810,11810,11810,11810,12160,31488,371873280,6,کورز,ورزیران,پایه زرد,11810,11810,11810,11810,12160
1402-05-30,2023-08-21,11560,11560,11560,11560,12120,118354,1368172240,18,کورز,ورزیران,پایه زرد,11560,11560,11560,11560,12120
1402-05-31,2023-08-22,11760,11760,11760,11760,12110,34452,405155520,5,کورز,ورزیران,پایه زرد,11760,11760,11760,11760,12110
1402-06-01,2023-08-23,11750,11750,11750,11750,11750,55017,646449750,9,کورز,ورزیران,پایه زرد,11750,11750,11750,11750,11750
1402-06-04,2023-08-26,11400,11400,11400,11400,11400,43830,499662000,9,کورز,ورزیران,پایه زرد,11400,11400,11400,11400,11400
1402-06-05,2023-08-27,11060,11060,11060,11060,11060,47313,523281780,5,کورز,ورزیران,پایه زرد,11060,11060,11060,11060,11060
1402-06-06,2023-08-28,10730,10730,10730,10730,10730,45227,485285710,9,کورز,ورزیران,پایه زرد,10730,10730,10730,10730,10730
1402-06-07,2023-08-29,10410,10410,10410,10410,10410,33628,350067480,6,کورز,ورزیران,پایه زرد,10410,10410,10410,10410,10410
1402-06-08,2023-08-30,10100,10100,10100,10100,10100,55569,561246900,8,کورز,ورزیران,پایه زرد,10100,10100,10100,10100,10100
1402-06-11,2023-09-02,9800,10400,9800,10400,10100,9160915,92499712180,750,کورز,ورزیران,پایه زرد,9800,10400,9800,10400,10100
1402-06-12,2023-09-03,10400,10400,10400,10400,10210,698363,7262975200,56,کورز,ورزیران,پایه زرد,10400,10400,10400,10400,10210
1402-06-13,2023-09-04,10510,10510,10510,10510,10340,880904,9258301040,54,کورز,ورزیران,پایه زرد,10510,10510,10510,10510,10340
1402-06-14,2023-09-05,10650,10650,10030,10030,10470,4546392,47609905420,295,کورز,ورزیران,پایه زرد,10650,10650,10030,10030,10470
1402-06-18,2023-09-09,10160,10160,10160,10160,10410,364515,3703472400,14,کورز,ورزیران,پایه زرد,10160,10160,10160,10160,10410
1402-06-19,2023-09-10,10100,10100,10100,10100,10400,68980,696698000,13,کورز,ورزیران,پایه زرد,10100,10100,10100,10100,10400
1402-06-20,2023-09-11,10090,10090,10090,10090,10370,171450,1729930500,17,کورز,ورزیران,پایه زرد,10090,10090,10090,10090,10370
1402-06-21,2023-09-12,10060,10060,10060,10060,10350,131198,1319851880,16,کورز,ورزیران,پایه زرد,10060,10060,10060,10060,10350
1402-06-22,2023-09-13,10040,10040,10040,10040,10340,76394,766995760,13,کورز,ورزیران,پایه زرد,10040,10040,10040,10040,10340
1402-06-26,2023-09-17,10030,10030,10030,10030,10320,114367,1147101010,7,کورز,ورزیران,پایه زرد,10030,10030,10030,10030,10320
1402-06-27,2023-09-18,10020,10020,10020,10020,10310,40011,400910220,7,کورز,ورزیران,پایه زرد,10020,10020,10020,10020,10310
1402-06-28,2023-09-19,10010,10010,10010,10010,10290,115197,1153121970,13,کورز,ورزیران,پایه زرد,10010,10010,10010,10010,10290
1402-06-29,2023-09-20,9780,9780,9780,9780,10210,311375,3045247500,41,کورز,ورزیران,پایه زرد,9780,9780,9780,9780,10210
1402-07-01,2023-09-23,9910,9910,9910,9910,10170,262023,2596647930,15,کورز,ورزیران,پایه زرد,9910,9910,9910,9910,10170
1402-07-03,2023-09-25,9870,9870,9870,9870,10160,44449,438711630,7,کورز,ورزیران,پایه زرد,9870,9870,9870,9870,10160
1402-07-04,2023-09-26,9860,9860,9860,9860,10150,92250,909585000,13,کورز,ورزیران,پایه زرد,9860,9860,9860,9860,10150
1402-07-05,2023-09-27,9850,9850,9850,9850,10140,44491,438236350,8,کورز,ورزیران,پایه زرد,9850,9850,9850,9850,10140
1402-07-08,2023-09-30,9840,9840,9840,9840,10140,5200,51168000,1,کورز,ورزیران,پایه زرد,9840,9840,9840,9840,10140
1402-07-09,2023-10-01,9640,9640,9640,9640,10080,231787,2234426680,18,کورز,ورزیران,پایه زرد,9640,9640,9640,9640,10080
1402-07-10,2023-10-02,9780,9780,9780,9780,10070,79622,778703160,10,کورز,ورزیران,پایه زرد,9780,9780,9780,9780,10070
1402-07-12,2023-10-04,9770,9770,9770,9770,10070,16532,161517640,4,کورز,ورزیران,پایه زرد,9770,9770,9770,9770,10070
1402-07-15,2023-10-07,9770,9770,9770,9770,10060,63093,616418610,5,کورز,ورزیران,پایه زرد,9770,9770,9770,9770,10060
1402-07-16,2023-10-08,9760,9760,9760,9760,10060,10346,100976960,2,کورز,ورزیران,پایه زرد,9760,9760,9760,9760,10060
1402-07-17,2023-10-09,9760,9760,9760,9760,10060,10350,101016000,2,کورز,ورزیران,پایه زرد,9760,9760,9760,9760,10060
1402-07-18,2023-10-10,9560,9560,9560,9560,9560,146108,1396792480,14,کورز,ورزیران,پایه زرد,9560,9560,9560,9560,9560
1402-07-19,2023-10-11,9280,9280,9280,9280,9280,107207,994880960,15,کورز,ورزیران,پایه زرد,9280,9280,9280,9280,9280
1402-07-22,2023-10-14,9010,9010,9010,9010,9010,22934,206635340,3,کورز,ورزیران,پایه زرد,9010,9010,9010,9010,9010
1402-07-23,2023-10-15,8740,8740,8740,8740,8740,106227,928423980,10,کورز,ورزیران,پایه زرد,8740,8740,8740,8740,8740
1402-07-24,2023-10-16,8480,8480,8480,8480,8480,70739,599866720,12,کورز,ورزیران,پایه زرد,8480,8480,8480,8480,8480
1402-07-25,2023-10-17,8230,8230,8230,8230,8230,142650,1174009500,12,کورز,ورزیران,پایه زرد,8230,8230,8230,8230,8230
1402-07-26,2023-10-18,7990,7990,7990,7990,7990,674452,5388871480,23,کورز,ورزیران,پایه زرد,7990,7990,7990,7990,7990
1402-07-29,2023-10-21,7760,8000,7760,7760,7770,8494205,66026758630,339,کورز,ورزیران,پایه زرد,7760,8000,7760,7760,7770
1402-07-30,2023-10-22,7540,7540,7540,7540,7740,337685,2546144900,27,کورز,ورزیران,پایه زرد,7540,7540,7540,7540,7740
1402-08-01,2023-10-23,7510,7510,7510,7510,7730,109000,818590000,2,کورز,ورزیران,پایه زرد,7510,7510,7510,7510,7730
1402-08-02,2023-10-24,7500,7500,7500,7500,7720,67775,508312500,4,کورز,ورزیران,پایه زرد,7500,7500,7500,7500,7720
1402-08-03,2023-10-25,7490,7490,7490,7490,7710,146617,1098161330,4,کورز,ورزیران,پایه زرد,7490,7490,7490,7490,7710
1402-08-06,2023-10-28,7480,7480,7480,7480,7710,28251,211317480,4,کورز,ورزیران,پایه زرد,7480,7480,7480,7480,7710
1402-08-07,2023-10-29,7480,7480,7480,7480,7710,33503,250602440,2,کورز,ورزیران,پایه زرد,7480,7480,7480,7480,7710
1402-08-08,2023-10-30,7330,7330,7330,7330,7670,264213,1936681290,21,کورز,ورزیران,پایه زرد,7330,7330,7330,7330,7670
1402-08-09,2023-10-31,7440,7440,7440,7440,7670,13641,101489040,3,کورز,ورزیران,پایه زرد,7440,7440,7440,7440,7670
1402-08-10,2023-11-01,7440,7440,7440,7440,7670,16000,119040000,2,کورز,ورزیران,پایه زرد,7440,7440,7440,7440,7670
1402-08-13,2023-11-04,7440,7440,7440,7440,7650,190309,1415898960,15,کورز,ورزیران,پایه زرد,7440,7440,7440,7440,7650
1402-08-14,2023-11-05,7430,7430,7430,7430,7640,159772,1187105960,12,کورز,ورزیران,پایه زرد,7430,7430,7430,7430,7640
1402-08-15,2023-11-06,7420,7420,7420,7420,7630,129150,958293000,9,کورز,ورزیران,پایه زرد,7420,7420,7420,7420,7630
1402-08-16,2023-11-07,7250,7250,7250,7250,7580,363428,2634853000,34,کورز,ورزیران,پایه زرد,7250,7250,7250,7250,7580
1402-08-17,2023-11-08,7360,7360,7360,7360,7560,266502,1961454720,15,کورز,ورزیران,پایه زرد,7360,7360,7360,7360,7560
1402-08-20,2023-11-11,7340,7340,7340,7340,7540,280000,2055200000,10,کورز,ورزیران,پایه زرد,7340,7340,7340,7340,7540
1402-08-21,2023-11-12,7320,7320,7320,7320,7520,290809,2128721880,12,کورز,ورزیران,پایه زرد,7320,7320,7320,7320,7520
1402-08-22,2023-11-13,7300,7740,7300,7740,7450,34697582,258328609920,1877,کورز,ورزیران,پایه زرد,7300,7740,7300,7740,7450
1402-08-23,2023-11-14,7670,7670,7560,7670,7670,7301186,55988385300,496,کورز,ورزیران,پایه زرد,7670,7670,7560,7670,7670
1402-08-24,2023-11-15,7890,7900,7440,7440,7540,9677810,72982696510,868,کورز,ورزیران,پایه زرد,7890,7900,7440,7440,7540
1402-08-27,2023-11-18,7320,7330,7320,7320,7420,1439861,10539864070,120,کورز,ورزیران,پایه زرد,7320,7330,7320,7320,7420
1402-08-28,2023-11-19,7200,7200,7200,7200,7310,1365323,9830325600,60,کورز,ورزیران,پایه زرد,7200,7200,7200,7200,7310
1402-01-05,2023-03-25,7160,7160,7100,7160,7160,11401427,81617282970,381,خعمرا,توسعه و عمران شهرستان نائین,پایه زرد,7147,7147,7087,7147,7147
1402-01-06,2023-03-26,7370,7370,7370,7370,7240,1110529,8184598730,41,خعمرا,توسعه و عمران شهرستان نائین,پایه زرد,7357,7357,7357,7357,7227
1402-01-07,2023-03-27,7450,7450,7450,7450,7320,1113412,8294919400,48,خعمرا,توسعه و عمران شهرستان نائین,پایه زرد,7436,7436,7436,7436,7307
1402-01-08,2023-03-28,7530,7530,7530,7530,7440,1582987,11919892110,65,خعمرا,توسعه و عمران شهرستان نائین,پایه زرد,7516,7516,7516,7516,7426
1402-01-09,2023-03-29,7660,7660,7660,7660,7470,354785,2717653100,37,خعمرا,توسعه و عمران شهرستان نائین,پایه زرد,7646,7646,7646,7646,7456
1402-01-14,2023-04-03,7690,7690,7690,7690,7690,2632954,20247416260,90,خعمرا,توسعه و عمران شهرستان نائین,پایه زرد,7676,7676,7676,7676,7676
1402-01-15,2023-04-04,7920,7920,7920,7920,7880,2233414,17688638880,73,خعمرا,توسعه و عمران شهرستان نائین,پایه زرد,7906,7906,7906,7906,7866
1402-01-16,2023-04-05,8110,8110,8110,8110,8110,2780108,22546675880,85,خعمرا,توسعه و عمران شهرستان نائین,پایه زرد,8095,8095,8095,8095,8095
1402-01-19,2023-04-08,8350,8350,8150,8350,8350,10370737,86586896190,348,خعمرا,توسعه و عمران شهرستان نائین,پایه زرد,8335,8335,8135,8335,8335
1402-01-20,2023-04-09,8600,8600,8410,8600,8590,5911730,50810839900,262,خعمرا,توسعه و عمران شهرستان نائین,پایه زرد,8584,8584,8395,8584,8574
1402-01-21,2023-04-10,8840,8840,8500,8840,8790,15936142,140105864120,764,خعمرا,توسعه و عمران شهرستان نائین,پایه زرد,8824,8824,8485,8824,8774
1402-01-22,2023-04-11,9050,9050,9050,9050,9050,2677585,24232144250,139,خعمرا,توسعه و عمران شهرستان نائین,پایه زرد,9034,9034,9034,9034,9034
1402-01-26,2023-04-15,9320,9320,9310,9320,9320,5138271,47887314030,274,خعمرا,توسعه و عمران شهرستان نائین,پایه زرد,9303,9303,9293,9303,9303
1402-01-27,2023-04-16,9590,9590,9590,9590,9590,2520704,24173551360,104,خعمرا,توسعه و عمران شهرستان نائین,پایه زرد,9573,9573,9573,9573,9573
1402-01-28,2023-04-17,9870,9870,9870,9870,9730,1076257,10622656590,59,خعمرا,توسعه و عمران شهرستان نائین,پایه زرد,9852,9852,9852,9852,9712
1402-01-29,2023-04-18,10020,10020,10020,10020,9820,701790,7031935800,50,خعمرا,توسعه و عمران شهرستان نائین,پایه زرد,10002,10002,10002,10002,9802
